cgpa,backlogs,internships,projects,certifications,aptitude_score,communication_score,coding_skill,placed,salary_lpa
7.46,1,1,1,0,50,52,63,0,0.0
6.32,1,3,6,1,66,46,71,0,0.0
7.84,0,2,7,6,54,85,50,1,13.09
8.0,1,2,6,3,46,98,61,1,11.93
5.54,2,4,7,3,48,71,87,1,11.99
6.09,1,1,5,3,71,76,79,1,11.27
7.31,2,1,4,1,62,87,52,0,0.0
6.93,5,3,3,5,46,65,73,0,0.0
7.19,0,0,7,5,71,68,89,1,13.31
6.47,1,2,5,4,50,75,47,1,11.18
7.95,0,2,2,2,40,58,43,1,10.58
7.86,2,0,7,4,48,43,63,1,10.63
7.26,1,1,1,6,67,74,80,0,0.0
8.16,0,0,5,4,98,90,59,1,12.54
7.6,0,0,2,3,54,44,90,1,10.56
6.47,3,1,5,1,57,53,91,0,0.0
7.51,0,0,3,3,54,56,72,1,11.07
6.38,1,2,4,2,61,89,63,1,10.46
7.95,0,3,5,4,83,70,42,1,13.87
7.16,4,2,6,0,59,72,90,1,11.73
7.04,0,0,3,1,80,79,94,0,0.0
6.62,0,0,7,5,94,56,66,0,0.0
8.24,3,0,4,2,97,83,71,1,11.44
7.07,3,0,2,3,74,41,85,0,0.0
6.84,0,3,1,3,83,46,82,1,12.53
6.9,1,1,2,3,96,89,48,1,10.56
7.65,2,0,5,5,87,80,81,1,11.05
7.51,3,3,4,1,58,50,96,1,11.9
7.55,0,1,3,5,48,66,85,1,11.95
7.57,1,0,4,1,47,43,69,1,10.86
9.02,2,0,6,2,93,80,71,1,12.91
6.85,2,1,5,4,73,86,55,1,10.29
6.76,2,2,1,6,58,56,80,1,11.51
6.51,1,0,1,1,61,61,54,1,8.85
7.72,0,3,4,4,57,54,60,1,10.42
8.16,3,3,3,0,88,63,56,1,11.18
7.1,3,3,6,0,77,56,60,1,12.21
6.49,2,0,5,5,93,55,62,1,9.5
6.5,0,0,6,5,58,66,45,0,0.0
7.75,0,3,5,2,68,92,83,1,14.75
7.83,2,0,3,4,47,86,66,0,0.0
7.66,0,1,5,2,99,58,97,1,13.65
6.63,4,2,5,1,71,97,51,1,8.81
7.4,0,0,6,3,73,52,80,1,13.5
7.3,2,2,2,2,65,95,50,1,10.24
7.39,3,3,5,5,56,58,73,1,12.1
7.94,0,2,2,2,97,72,69,1,13.68
7.39,0,1,6,2,69,52,67,1,12.58
7.78,1,3,6,3,81,86,79,1,12.98
7.26,1,1,5,5,42,59,90,0,0.0
7.45,0,2,7,1,56,93,59,1,12.51
7.74,1,2,4,6,89,45,91,1,13.22
5.96,4,2,1,3,45,70,51,0,0.0
6.93,1,0,5,4,46,49,57,0,0.0
6.8,0,0,6,6,89,94,58,0,0.0
6.66,0,0,1,3,58,65,98,1,12.38
6.97,0,1,1,1,56,81,47,1,9.89
8.47,0,1,2,5,74,93,64,1,11.65
6.46,0,1,6,0,51,72,65,1,10.32
8.02,1,1,4,3,42,43,88,1,10.69
5.77,0,2,7,6,40,53,69,1,10.88
6.92,4,3,7,2,44,52,98,0,0.0
7.34,0,0,4,4,49,95,85,0,0.0
7.7,0,2,5,3,82,95,82,1,13.96
7.8,2,2,3,1,58,69,85,1,11.74
7.87,3,1,1,2,44,94,49,0,0.0
6.9,0,0,3,3,40,55,67,0,0.0
6.81,0,2,5,0,69,81,75,1,13.54
7.93,0,4,2,2,91,63,52,1,12.71
7.04,1,2,2,2,60,54,47,1,11.88
6.12,1,3,1,5,43,55,48,0,0.0
6.24,0,4,6,0,53,65,88,1,11.58
6.42,0,1,7,5,70,60,80,1,11.98
7.62,1,1,6,2,51,52,57,1,10.7
7.32,4,1,3,4,99,60,84,0,0.0
7.79,1,4,5,3,86,47,82,1,14.05
6.84,1,0,7,2,61,99,89,1,14.0
7.33,0,1,5,6,98,63,95,1,13.02
7.73,0,3,3,1,59,46,93,1,13.38
6.94,0,0,3,0,48,75,51,0,0.0
7.59,2,2,6,5,97,93,86,1,13.49
6.64,3,1,4,4,98,61,63,0,0.0
6.89,3,4,6,6,59,91,64,1,11.47
6.88,5,3,7,3,76,77,79,1,11.84
6.18,5,0,1,0,50,85,76,0,0.0
7.61,4,2,6,0,79,58,65,1,11.39
6.8,0,0,3,3,82,42,100,1,12.58
7.21,0,1,4,1,83,61,50,1,12.16
7.61,0,2,2,6,74,96,45,1,12.38
7.58,1,2,3,0,82,88,41,1,10.84
7.77,0,0,3,6,73,87,89,1,11.72
7.12,2,0,1,1,90,93,64,0,0.0
6.84,1,2,6,0,50,62,66,0,0.0
7.13,1,1,2,1,69,59,79,0,0.0
5.77,0,1,3,1,65,96,66,0,0.0
5.97,0,0,2,2,72,74,75,0,0.0
6.08,0,1,2,2,48,58,43,0,0.0
6.35,3,3,3,3,59,56,49,0,0.0
7.54,1,0,7,3,98,93,96,1,13.06
6.43,2,1,7,0,46,43,67,0,0.0
6.88,0,3,3,0,78,43,50,0,0.0
8.3,0,0,4,1,80,85,62,1,11.43
